"Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA_Types","PassDead_SCA_Types","TO_SCA_Types","Sh_SCA_Types","Fld_SCA_Types","Def_SCA_Types","GCA_GCA","GCA90_GCA","PassLive_GCA_Types","PassDead_GCA_Types","TO_GCA_Types","Sh_GCA_Types","Fld_GCA_Types","Def_GCA_Types","PlayerURL","LeagueName","LeagueURL","StatType"
"2025-2026","RB Leipzig","Frauen-Bundesliga","Marlene Müller","GER","FW,MF","24-332",1.2,3,2.55,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/60352dae/Marlene-Muller","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","RB Leipzig","Frauen-Bundesliga","Victoria Krug","GER","DF","27-252",1.1,1,0.94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/a3183592/Victoria-Krug","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","RB Leipzig","Frauen-Bundesliga","Gina Chmielinski","GER","MF","25-106",1,3,3,2,1,0,0,0,0,1,1,0,1,0,0,0,0,"https://fbref.com/en/players/8c3de9d6/Gina-Chmielinski","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","RB Leipzig","Frauen-Bundesliga","Lou-Ann Joly","FRA","MF","23-160",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/0fee9f6d/Lou-Ann-Joly","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","RB Leipzig","Frauen-Bundesliga","Julia Magerl","AUT","DF","22-142",0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/87be9b9d/Julia-Magerl","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","RB Leipzig","Frauen-Bundesliga","Mai Kadowaki","JPN","MF","24-152",0.5,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/f39de6ec/Mai-Kadowaki","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","RB Leipzig","Frauen-Bundesliga","Persis Oteng","NED","FW","19-322",0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/0fb8146e/Persis-Oteng","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","RB Leipzig","Frauen-Bundesliga","Giovanna Hoffmann","GER","FW","27-001",0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e81f194d/Giovanna-Hoffmann","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","RB Leipzig","Frauen-Bundesliga","Emilía Ásgeirsdóttir","ISL","MF","20-234",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/8f4f0cc8/Emilia-Asgeirsdottir","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","RB Leipzig","Frauen-Bundesliga","Nikoline Dudek","DEN","DF","22-005",0.1,1,12.86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/1fdb740f/Nikoline-Dudek","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Melanie Brunnthaler","AUT","FW","24-358",3,11,3.67,7,0,1,0,3,0,2,0.67,1,0,1,0,0,0,"https://fbref.com/en/players/0a63b53a/Melanie-Brunnthaler","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Jaqueline Donges","GER","DF","24-274",3,4,1.33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/60c2e7fe/Jaqueline-Donges","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Svea Stoldt","GER","DF","19-292",3,4,1.33,2,2,0,0,0,0,1,0.33,0,1,0,0,0,0,"https://fbref.com/en/players/5b400501/Svea-Stoldt","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Leni Marie Eggert","GER","DF","17-077",3,6,2.01,4,0,1,1,0,0,1,0.33,0,0,0,1,0,0,"https://fbref.com/en/players/5698d1c9/Leni-Marie-Eggert","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Pauline Machtens","GER","MF","23-085",2.7,1,0.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e4687714/Pauline-Machtens","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Nina Räcke","GER","DF","24-004",2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/d0d2c2f8/Nina-Racke","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Mária Mikolajová","SVK","MF","26-100",2.2,5,2.24,4,0,0,1,0,0,1,0.45,0,0,0,1,0,0,"https://fbref.com/en/players/07ee8887/Maria-Mikolajova","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Sophie Hillebrand","AUT","FW","23-240",2,3,1.47,2,0,1,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/c3f503a8/Sophie-Hillebrand","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Jobina Lahr","GER","DF","33-337",1.9,3,1.54,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/368b0d80/Jobina-Lahr","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Lotta Wrede","GER","MF,DF","17-171",1.6,6,3.72,4,0,2,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/8af3538b/Lotta-Wrede","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Laura Sieger","GER","GK","25-215",1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/90177ab1/Laura-Sieger","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Christin Meyer","GER","MF","24-342",1.7,2,1.16,2,0,0,0,0,0,1,0.58,1,0,0,0,0,0,"https://fbref.com/en/players/5de1a331/Christin-Meyer","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Inga Schuldt","GER","GK","28-173",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/3151a778/Inga-Schuldt","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Victoria Schulz","GER","MF,FW","27-314",0.8,1,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/12fddac2/Victoria-Schulz","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Larissa Haidner","AUT","GK","20-187",0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/257050d3/Larissa-Haidner","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Mia Büchele","GER","MF,DF","21-349",0.6,1,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/762fd610/Mia-Buchele","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Annaleen Böhler","GER","DF","20-065",0.5,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/801f23e0/Annaleen-Bohler","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Emilia Hirche","GER","FW","22-071",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/60255644/Emilia-Hirche","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Annalena Wucher","AUT","DF,FW","26-108",0.5,1,2.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e95a092a/Annalena-Wucher","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Viktoria Schwalm","GER","MF","27-286",0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/109cdc0e/Viktoria-Schwalm","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Vildan Kardesler","GER","MF","27-209",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/0836fac5/Vildan-Kardesler","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Sophie Profé","GER","DF","22-145",0,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/3fbda4cf/Sophie-Profe","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","1. FC Nürnberg","Frauen-Bundesliga","Luisa Guttenberger","GER","MF","26-294",2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/ce8310d3/Luisa-Guttenberger","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","1. FC Nürnberg","Frauen-Bundesliga","Nastassja Lein","GER","MF","24-220",2,9,4.5,6,0,1,1,0,1,2,1,1,0,0,1,0,0,"https://fbref.com/en/players/c91c5067/Nastassja-Lein","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","1. FC Nürnberg","Frauen-Bundesliga","Aneta Polášková","CZE","FW","23-141",2,7,3.5,5,0,1,0,1,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/88b52cda/Aneta-Polaskova","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","1. FC Nürnberg","Frauen-Bundesliga","Larissa Rusek","AUT","GK","20-263",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/11c0166a/Larissa-Rusek","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","1. FC Nürnberg","Frauen-Bundesliga","Oliwia Woś","POL","DF","26-037",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/f6acd028/Oliwia-Wos","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","1. FC Nürnberg","Frauen-Bundesliga","Julia Pollak","GER","DF","23-135",1.9,3,1.55,1,0,0,2,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/c639a95f/Julia-Pollak","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","1. FC Nürnberg","Frauen-Bundesliga","Sanja Homann","GER","MF","23-267",1.7,2,1.15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/a528a23e/Sanja-Homann","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","1. FC Nürnberg","Frauen-Bundesliga","Jacqueline Baumgärtel","GER","FW","23-202",1.5,2,1.29,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/29ee98e7/Jacqueline-Baumgartel","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","1. FC Nürnberg","Frauen-Bundesliga","Jonna Brengel","GER","MF","21-007",1.5,7,4.67,5,2,0,0,0,0,1,0.67,1,0,0,0,0,0,"https://fbref.com/en/players/ada7b4f0/Jonna-Brengel","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","1. FC Nürnberg","Frauen-Bundesliga","Beatrix Fördős","HUN","DF","23-257",1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/67d2f423/Beatrix-Fordos","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","1. FC Nürnberg","Frauen-Bundesliga","Franziska Mai","GER","DF","25-344",1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/915c9aa3/Franziska-Mai","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","1. FC Nürnberg","Frauen-Bundesliga","Clara Fröhlich","GER","DF","21-190",0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/265328ec/Clara-Frohlich","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","1. FC Nürnberg","Frauen-Bundesliga","Laura Miller","LUX","MF","23-288",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/d38560f6/Laura-Miller","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","1. FC Nürnberg","Frauen-Bundesliga","Selma Licina","MNE","FW","24-136",0.4,2,4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/b28e04bd/Selma-Licina","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","1. FC Nürnberg","Frauen-Bundesliga","Aleigh Gambone","USA","DF,MF","24-347",0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/f7960ed7/Aleigh-Gambone","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","1. FC Nürnberg","Frauen-Bundesliga","Meret Günster","GER","MF,FW","22-245",0.1,1,7.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/2fd87cb2/Meret-Gunster","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Josephine Bonsu","GHA","DF","26-032",3,2,0.67,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/859f40d8/Josephine-Bonsu","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Hannah Etzold","GER","GK","20-161",3,1,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/636e368e/Hannah-Etzold","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Noemi Gentile","GER","MF,FW","25-150",3,2,0.67,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/bcfe3ce4/Noemi-Gentile","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Toma Ihlenburg","GER","DF","22-291",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/284f0c28/Toma-Ihlenburg","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Felicia Sophie Sträßer","GER","DF","17-279",3,1,0.33,1,0,0,0,0,0,1,0.33,1,0,0,0,0,0,"https://fbref.com/en/players/f32b2b51/Felicia-Sophie-Strasser","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Nelly Juckel","GER","DF,MF","23-221",2.8,3,1.08,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/0573d823/Nelly-Juckel","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Isabella Jaron","GER","FW","23-240",2.5,3,1.18,0,0,2,0,0,1,1,0.39,0,0,1,0,0,0,"https://fbref.com/en/players/27204b59/Isabella-Jaron","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Rieke Tietz","GER","FW","23-196",2.3,3,1.32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/f3e42d2e/Rieke-Tietz","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Lisa Gora","GER","MF","21-203",2,4,1.96,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e4e4f1c0/Lisa-Gora","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Stefanie Schmid","GER","DF","19-362",2.5,1,0.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/48fb9ed5/Stefanie-Schmid","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Emily Reske","GER","MF,FW","20-181",1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/df742823/Emily-Reske","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Merza Julević","GER","MF","35-157",1.5,1,0.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/55229ecf/Merza-Julevic","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Bente Fischer","GER","DF","22-298",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/66834f26/Bente-Fischer","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Anna Margraf","AUS","FW,MF","24-137",0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/53836ede/Anna-Margraf","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Suya Haering","NZL","FW,MF","20-080",0.5,1,1.96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/ebfc08fe/Suya-Haering","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Nike Herrmann","GER","MF","23-175",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/6e067c8e/Nike-Herrmann","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Elena Mühlemann","SUI","MF","22-040",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/917afc8a/Elena-Muhlemann","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Essen","Frauen-Bundesliga","Paula Flach","GER","DF","22-142",3,1,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/66605f59/Paula-Flach","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Essen","Frauen-Bundesliga","Lena Ostermeier","GER","DF","28-355",3,2,0.67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/4e673b2e/Lena-Ostermeier","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Essen","Frauen-Bundesliga","Kim Sindermann","GER","GK","24-263",3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/a931eea3/Kim-Sindermann","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Essen","Frauen-Bundesliga","Vanessa Furst","GER","DF,MF","23-330",3,2,0.68,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/8ad8b4b4/Vanessa-Furst","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Essen","Frauen-Bundesliga","Jana Feldkamp","GER","MF","27-190",2.8,6,2.11,5,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/11bb564b/Jana-Feldkamp","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Essen","Frauen-Bundesliga","Ramona Maier","GER","FW,MF","30-002",2.8,1,0.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/7f2c8da2/Ramona-Maier","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Essen","Frauen-Bundesliga","Laureta Elmazi","GER","FW","22-087",2.7,5,1.88,4,0,0,0,1,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/8b4050bb/Laureta-Elmazi","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Essen","Frauen-Bundesliga","Jacqueline Klasen","GER","DF","31-229",2.6,8,3.12,3,0,2,1,1,1,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/51532c67/Jacqueline-Klasen","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Essen","Frauen-Bundesliga","Natasha Kowalski","GER","MF,DF","22-101",2,4,2.02,2,1,0,1,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/2fffa5fc/Natasha-Kowalski","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Essen","Frauen-Bundesliga","Shari Van Belle","BEL","MF,FW","25-273",1.9,1,0.52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/1bb31d9a/Shari-Van-Belle","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Essen","Frauen-Bundesliga","Maike Berentzen","GER","FW,MF","28-223",1.7,9,5.29,8,0,1,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/62828f6a/Maike-Berentzen","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Essen","Frauen-Bundesliga","Laura Pucks","GER","DF,FW","21-173",1.3,1,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/ca1437fa/Laura-Pucks","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Essen","Frauen-Bundesliga","Paulina Platner","GER","MF","19-309",0.8,1,1.18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/2a25cabb/Paulina-Platner","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Essen","Frauen-Bundesliga","Beke Sterner","GER","MF","22-211",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/b8894d39/Beke-Sterner","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Essen","Frauen-Bundesliga","Leonie Köpp","GER","MF,FW","18-161",1.3,3,2.29,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/0f813d65/Leonie-Kopp","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Essen","Frauen-Bundesliga","Julia Debitzki","GER","MF,FW","34-088",0.5,2,4.19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/984d8a46/Julia-Debitzki","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Essen","Frauen-Bundesliga","Kassandra Potsi","GER","FW","",0.3,2,7.83,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/8a123937/Kassandra-Potsi","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Essen","Frauen-Bundesliga","Lany Bäcker","GER","MF,FW","17-199",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e9517443/Lany-Backer","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Köln","Frauen-Bundesliga","Sara Agrež","SVN","DF","24-286",2,5,2.5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/f4321ccd/Sara-Agrez","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Köln","Frauen-Bundesliga","Laura Donhauser","GER","FW","24-017",2,6,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/307ba10b/Laura-Donhauser","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
